article_id,combined_rcmnds,combined_scores,image_rcmnds,image_scores,tfrs_rcmnds,tfrs_scores,text_rcmnds,text_scores,feature_rcmnds,feature_scores
710728001,710728001,1.0,710728001,1.0,710728001,1.0,710728001,1.0,710728001,1.0
710728001,788093003,0.86,710728002,0.79,504154001,1.0,710728002,1.0,750213002,1.0
710728001,709338002,0.84,788093003,0.74,440811010,1.0,696134002,0.9,721298005,1.0
710728001,685009006,0.83,633977004,0.73,790791001,1.0,696134003,0.9,685009006,1.0
710728001,762063001,0.81,781833008,0.72,821173002,1.0,696134001,0.9,681176011,1.0
710728001,794454002,0.81,709338002,0.7,714191001,1.0,672947004,0.89,784397001,1.0
710728001,846592001,0.78,685009006,0.69,786336003,1.0,788595001,0.89,807500002,1.0
710728001,721298005,0.78,798820004,0.69,703991003,1.0,781833012,0.88,783580001,1.0
751724001,751724001,1.0,751724001,1.0,751724001,1.0,751724001,1.0,751724001,1.0
751724001,717502003,0.78,665082022,0.86,642498004,0.99,783706001,0.85,710358001,0.82
751724001,751719001,0.74,717502002,0.85,918834001,0.98,816175002,0.84,717502003,0.82
751724001,677970001,0.73,734902001,0.85,671783004,0.97,816175001,0.84,771034001,0.82
751724001,720821001,0.73,717502003,0.85,611635002,0.95,785818001,0.82,761713001,0.73
751724001,771034001,0.73,717773005,0.83,794222005,0.9,635279003,0.82,682784001,0.73
751724001,760572001,0.72,856332001,0.83,732060009,0.89,635279002,0.82,761713011,0.73
751724001,690894001,0.7,783073001,0.83,732060002,0.82,676111001,0.81,843905001,0.73
605716003,605716003,1.0,605716003,1.0,605716003,1.0,605716003,1.0,770857002,1.0
605716003,525096004,0.83,598975005,0.85,582881001,1.0,829185002,0.87,525096004,1.0
605716003,570333002,0.8,592745001,0.85,509497002,1.0,829185001,0.87,605716003,1.0
605716003,598720002,0.79,598670001,0.81,853559001,1.0,879282003,0.87,827838003,1.0
605716003,606274001,0.77,753893001,0.81,887809001,1.0,879282002,0.87,836303001,1.0
605716003,547623003,0.76,796644001,0.8,255396018,1.0,879282001,0.87,702982001,1.0
605716003,901679002,0.76,824062001,0.8,560534001,1.0,723173010,0.86,712167001,1.0
605716003,876355006,0.76,744892001,0.8,556955005,1.0,723173006,0.86,905757002,0.91
818313004,818313004,1.0,818313004,1.0,818313004,1.0,818313001,1.0,818313004,1.0
818313004,867783001,0.8,764355002,0.71,570489002,1.0,818313004,1.0,867783001,1.0
818313004,850541002,0.78,825086002,0.7,559018004,1.0,818313003,1.0,850541002,1.0
818313004,572799007,0.76,738882001,0.7,698317006,1.0,737577001,0.89,687069003,0.91
818313004,869846003,0.75,712517003,0.7,542695004,1.0,865971002,0.89,572799007,0.91
818313004,762600008,0.74,857855001,0.69,685813029,1.0,865971008,0.89,550580004,0.91
818313004,572797050,0.74,762600004,0.69,574153001,1.0,865971003,0.89,699110002,0.91
818313004,550580004,0.72,797680003,0.68,700946004,0.99,865971006,0.89,687044002,0.91
640555001,640555001,1.0,640555001,1.0,640555001,1.0,660930001,1.0,713200006,1.0
640555001,640554001,0.86,621976001,0.91,748141003,0.96,521782001,1.0,640555001,1.0
640555001,595212001,0.84,588423002,0.91,568800038,0.96,640555001,1.0,736691001,1.0
640555001,595272001,0.83,629024001,0.91,719629025,0.96,595272001,0.97,710278003,1.0
640555001,595201001,0.8,584633001,0.91,743768003,0.96,689009001,0.97,772772001,1.0
640555001,591800001,0.78,561248001,0.91,860721001,0.96,576859003,0.97,777043002,1.0
640555001,595194001,0.77,635141001,0.91,375585024,0.96,639891001,0.97,599580049,1.0
640555001,595209001,0.77,626794001,0.91,771796001,0.96,689009002,0.97,586896037,1.0
719575001,719575001,1.0,719575001,1.0,719575001,1.0,719575001,1.0,719575001,1.0
719575001,408569010,0.79,408647009,0.81,714543001,0.98,408649007,1.0,265630004,0.82
719575001,719544002,0.78,408569009,0.79,508789016,0.98,408649008,1.0,408554006,0.82
719575001,631744004,0.77,408569010,0.78,715424003,0.97,408649006,1.0,697688001,0.82
719575001,408647009,0.77,631744010,0.77,562734017,0.97,408647007,0.88,408554004,0.82
719575001,665497001,0.77,716590007,0.77,608776024,0.97,408647010,0.88,179393001,0.82
719575001,807244003,0.75,683001009,0.76,719544002,0.97,408647008,0.88,266875001,0.82
719575001,652956002,0.75,509091045,0.76,408569010,0.96,408647009,0.88,809320001,0.82
464297031,464297031,1.0,464297031,1.0,464297031,1.0,464297031,1.0,464297031,1.0
464297031,464297021,0.88,464297030,0.93,583896003,0.91,464297028,1.0,570319021,0.91
464297031,464297030,0.86,464297033,0.89,664368004,0.91,464297034,1.0,719655002,0.91
464297031,464927020,0.84,464297027,0.89,863477007,0.91,464297033,1.0,570319066,0.91
464297031,464297027,0.84,465655024,0.88,803070017,0.9,673718002,1.0,899215001,0.91
464297031,464297033,0.83,701014002,0.88,736531007,0.89,464297030,1.0,702890001,0.91
464297031,464927008,0.83,465655016,0.88,736531014,0.88,464297027,1.0,719655014,0.91
464297031,701014002,0.83,614857003,0.87,657291005,0.88,464297021,1.0,570319002,0.91
795621001,795621001,1.0,795621001,1.0,795621001,1.0,795621001,1.0,866117002,1.0
795621001,509669004,0.9,541518027,0.87,723469002,0.99,325087018,0.96,903306001,1.0
795621001,800245002,0.89,800245003,0.86,723469005,0.99,325087041,0.96,557994003,1.0
795621001,757921001,0.88,841182003,0.86,617348001,0.98,325087043,0.96,800245002,1.0
795621001,849738001,0.86,729318007,0.86,509669011,0.97,325087036,0.96,704756001,1.0
795621001,541518004,0.85,506098006,0.85,464679013,0.97,325087044,0.96,737644002,1.0
795621001,841182002,0.85,792817004,0.85,855706003,0.97,325087002,0.96,894775001,1.0
795621001,736530016,0.85,797527002,0.85,616708001,0.97,325087045,0.96,883354001,1.0
501619020,501619020,1.0,501619020,1.0,501619020,1.0,501619024,1.0,501619020,1.0
501619020,637411001,0.87,693510002,0.9,631749001,1.0,501619020,1.0,735094005,1.0
501619020,618319022,0.83,689107001,0.88,898694001,1.0,501619006,1.0,501619015,1.0
501619020,715610013,0.83,656495003,0.87,910457001,1.0,501619007,1.0,735094006,0.91
501619020,501722027,0.82,710876005,0.86,744224003,1.0,501619009,1.0,618319022,0.91
501619020,618319007,0.82,560030020,0.85,740824007,1.0,501619010,1.0,866529002,0.91
501619020,501620036,0.82,501620049,0.85,753094003,1.0,501619026,1.0,734940014,0.91
501619020,501722029,0.82,686643002,0.85,686564022,1.0,501619023,1.0,618319007,0.91
671599006,671599006,1.0,671599006,1.0,671599006,1.0,671599009,1.0,671599006,1.0
671599006,570004061,0.87,570004061,0.92,803229001,1.0,671599011,1.0,685816004,0.91
671599006,570004108,0.87,671599001,0.9,811262002,1.0,671599003,1.0,763275003,0.91
671599006,570004115,0.83,671599009,0.89,685816007,0.99,671599004,1.0,596400015,0.91
671599006,620928012,0.81,570004060,0.88,633172001,0.99,671599005,1.0,795338003,0.91
671599006,570004106,0.81,570004078,0.86,623859004,0.99,671599007,1.0,620928012,0.91
671599006,570004060,0.81,699924007,0.86,863456001,0.99,671599001,1.0,513699041,0.91
671599006,570004053,0.8,570004082,0.86,708711001,0.99,671599012,1.0,570004108,0.91
800389002,800389002,1.0,800389002,1.0,800389002,1.0,800389001,1.0,586007002,1.0
800389002,810419002,0.95,810419002,0.99,610081003,0.71,800389002,1.0,508463002,1.0
800389002,811783002,0.82,810419001,0.85,772576001,0.71,800389007,1.0,586244001,1.0
800389002,684209019,0.78,800389001,0.82,858918004,0.71,871468001,0.97,800389002,1.0
800389002,776237014,0.78,684209019,0.8,693497002,0.69,799417004,0.96,589808001,1.0
800389002,800389001,0.76,811927001,0.79,764598002,0.68,799417001,0.96,823118002,1.0
800389002,811925001,0.76,811783002,0.78,586244001,0.68,758808001,0.96,653664008,1.0
800389002,811927001,0.75,566140025,0.77,666080003,0.68,758808002,0.96,585130002,1.0
694121001,694121001,1.0,694121001,1.0,694121001,1.0,694121001,1.0,694121001,1.0
694121001,743840012,0.76,734461006,0.79,555369001,0.99,875826001,0.92,203595048,0.91
694121001,734940005,0.7,591631013,0.78,865658001,0.99,812993002,0.9,673133009,0.82
694121001,776907001,0.69,551044035,0.78,768360002,0.99,812993001,0.9,656677025,0.82
694121001,745773004,0.69,584973003,0.77,687600002,0.99,893134004,0.89,706274007,0.82
694121001,732526001,0.68,512230004,0.76,679954005,0.99,631629001,0.89,539217021,0.82
694121001,466917003,0.68,551045017,0.76,786307003,0.99,672573001,0.89,706274002,0.82
694121001,660004005,0.67,588714005,0.76,679954003,0.99,672573002,0.89,825153004,0.82
685601013,685601013,1.0,685601013,1.0,685601013,1.0,685601021,1.0,685601013,1.0
685601013,685604068,0.82,488561023,0.82,748097001,0.96,685601015,1.0,541763001,1.0
685601013,685601021,0.82,804610003,0.8,865391001,0.96,685601002,1.0,685604068,1.0
685601013,566942007,0.81,758561001,0.78,907188001,0.95,685601024,1.0,685604026,1.0
685601013,541763001,0.8,315497018,0.78,811500006,0.95,685601022,1.0,685601021,1.0
685601013,685604026,0.77,758561002,0.77,737340001,0.95,685601030,1.0,685605007,0.91
685601013,719629025,0.76,662369026,0.77,669919001,0.95,685601018,1.0,566942007,0.91
685601013,567638012,0.75,608943015,0.77,749509002,0.95,685601011,1.0,685602016,0.91
287645023,287645023,1.0,287645023,1.0,287645023,1.0,293244002,1.0,305775032,1.0
287645023,293433026,0.93,696944008,0.92,562613002,0.99,287645013,1.0,291338023,1.0
287645023,305775032,0.93,291338017,0.92,885989002,0.98,287645029,1.0,738859008,1.0
287645023,291338018,0.89,535726007,0.92,484644001,0.98,287645027,1.0,291338014,1.0
287645023,291338023,0.88,620424032,0.91,515013001,0.98,623857001,1.0,293433026,1.0
287645023,291333014,0.88,517959029,0.91,571969001,0.98,293244010,1.0,738859013,1.0
287645023,327144032,0.88,395730035,0.91,612050001,0.98,293244001,1.0,653371002,1.0
287645023,327144033,0.87,618386010,0.91,507674001,0.98,287645022,1.0,287645023,1.0
873072002,873072002,1.0,873072002,1.0,873072002,1.0,873072002,1.0,743123001,1.0
873072002,866269002,0.94,595070001,0.46,587296001,1.0,873072001,1.0,866269002,1.0
873072002,854338006,0.93,900317003,0.43,523891001,1.0,649669002,0.87,832330002,1.0
873072002,894139005,0.92,871669008,0.43,552664001,1.0,649669003,0.87,684209004,1.0
873072002,523391002,0.88,480581011,0.43,730482003,1.0,687034023,0.85,854338006,1.0
873072002,508457002,0.88,731516001,0.42,468977001,1.0,687034022,0.85,590928001,1.0
873072002,896278001,0.88,873132005,0.42,562775001,1.0,687034024,0.85,873072002,1.0
873072002,506205001,0.87,709177002,0.42,675245003,1.0,687034002,0.85,616098001,1.0
874196003,874196003,1.0,874196003,1.0,874196003,1.0,874196001,1.0,874196003,1.0
874196003,874196001,0.91,908888001,0.44,834055001,1.0,874196004,1.0,495685015,1.0
874196003,569507001,0.91,913272001,0.44,576262003,1.0,874196009,1.0,801708002,0.91
874196003,546745002,0.9,523160010,0.43,537114003,1.0,874196002,1.0,657190001,0.91
874196003,871176002,0.9,888473002,0.42,654375001,1.0,874196003,1.0,378135022,0.91
874196003,569514001,0.9,532224002,0.41,690593001,1.0,760250004,0.97,546745002,0.91
874196003,495680002,0.9,912574003,0.4,588452001,1.0,760250003,0.97,378135002,0.91
874196003,863644004,0.9,757904023,0.4,557248024,1.0,760250001,0.97,689087007,0.91
599580067,599580067,1.0,599580067,1.0,599580067,1.0,599580083,1.0,351484034,1.0
599580067,776237027,0.87,776237027,0.91,605516008,0.98,599580044,1.0,586896039,1.0
599580067,551371002,0.85,760551002,0.67,626444009,0.97,885618001,1.0,586896005,1.0
599580067,184123020,0.84,599580044,0.65,644753005,0.97,599580041,1.0,586896020,1.0
599580067,600044006,0.83,505094008,0.65,586896006,0.96,599580042,1.0,560209004,1.0
599580067,587679002,0.8,762742001,0.65,641254002,0.96,599580004,1.0,351484013,1.0
599580067,879944004,0.79,665706002,0.64,870692001,0.95,747786001,1.0,723370002,1.0
599580067,919248002,0.79,749699005,0.64,768879001,0.95,599580049,1.0,587679002,1.0
815535003,815535003,1.0,815535003,1.0,815535003,1.0,815535003,1.0,815535003,1.0
815535003,815537003,0.78,673483001,0.8,717879011,1.0,815535001,1.0,815550002,0.91
815535003,815550002,0.73,674103002,0.8,735840005,1.0,693673001,0.94,832312003,0.82
815535003,733552001,0.73,638842003,0.79,558825007,1.0,639192003,0.92,920610005,0.82
815535003,832312003,0.72,631718001,0.79,733870001,1.0,639192013,0.92,783384005,0.82
815535003,920610005,0.71,673363003,0.78,632225003,1.0,639192012,0.92,794054003,0.82
815535003,724302001,0.7,509551005,0.77,728156011,1.0,639192006,0.92,815537003,0.82
815535003,794054003,0.69,696734002,0.77,860997001,1.0,639192009,0.92,854301001,0.82
763100002,763100002,1.0,763100002,1.0,763100002,1.0,763100003,1.0,763100002,1.0
763100002,711048005,0.87,699069002,0.91,597753007,0.98,763100002,1.0,562399002,0.91
763100002,771274002,0.85,626443011,0.91,606814002,0.97,763100001,1.0,562399005,0.91
763100002,631772015,0.83,777842002,0.91,834378004,0.97,631818004,1.0,860231002,0.91
763100002,562399002,0.83,733470001,0.9,598734003,0.97,631818003,1.0,720358002,0.91
763100002,562477001,0.81,744099004,0.9,741021002,0.97,887819002,0.95,711048005,0.91
763100002,649514002,0.8,694765002,0.9,635139001,0.97,855199002,0.92,631772011,0.91
763100002,631772008,0.78,738273001,0.9,767625003,0.97,855199001,0.92,562455001,0.91
703202006,703202006,1.0,703202006,1.0,703202006,1.0,703202008,1.0,634031001,1.0
703202006,487800001,0.93,703202008,0.93,564314022,0.89,703202009,1.0,739912003,1.0
703202006,766777001,0.9,777093003,0.92,487800032,0.87,703202006,1.0,703202006,1.0
703202006,637538001,0.88,685809001,0.92,600932002,0.84,703202005,1.0,600591007,1.0
703202006,487800002,0.88,699200001,0.92,754492001,0.82,703202010,1.0,621620001,1.0
703202006,753746001,0.87,693607004,0.92,869379011,0.81,703202007,1.0,860632001,1.0
703202006,768786001,0.87,694124003,0.92,564311002,0.81,835376001,0.93,768786001,1.0
703202006,860632001,0.86,627563011,0.91,585342006,0.81,835376002,0.93,860644001,1.0
792436001,792436001,1.0,792436001,1.0,792436001,1.0,792436001,1.0,907951001,1.0
792436001,765037001,0.88,701212003,0.84,805015007,1.0,904302001,0.78,768229001,1.0
792436001,740650001,0.87,701212001,0.84,902023001,1.0,904302002,0.78,591100001,1.0
792436001,779138002,0.87,785081001,0.82,640528002,1.0,876332001,0.74,827682003,1.0
792436001,700986001,0.86,765037001,0.81,341242001,1.0,876332002,0.74,907953001,1.0
792436001,729321001,0.86,784383002,0.81,668364001,1.0,752437003,0.71,888294001,1.0
792436001,509134001,0.84,831069001,0.81,625114024,1.0,752437001,0.71,681561001,1.0
792436001,743562002,0.83,677121006,0.8,531665003,1.0,451650001,0.71,708394001,1.0
708740021,708740021,1.0,708740021,1.0,708740021,1.0,708740022,1.0,708740021,1.0
708740021,680441020,0.87,488175001,0.53,802444001,1.0,708740021,1.0,680441020,0.91
708740021,742258030,0.81,678694003,0.52,692046002,1.0,708740005,1.0,708740017,0.82
708740021,742258027,0.81,719484004,0.52,762619011,1.0,708740015,1.0,867240002,0.82
708740021,654410033,0.81,678694002,0.51,736963001,1.0,708740017,1.0,932558002,0.82
708740021,742258037,0.81,612800010,0.51,802153002,1.0,708740018,1.0,742258037,0.82
708740021,680441019,0.8,399136027,0.51,776717002,1.0,879766001,0.89,567424038,0.82
708740021,875996003,0.8,840489004,0.5,681916004,1.0,879766002,0.89,875996003,0.82
747485010,747485010,1.0,747485010,1.0,747485010,1.0,747485006,1.0,863116002,1.0
747485010,794157001,0.86,747485004,0.92,694298034,0.95,747485007,1.0,747485010,1.0
747485010,624066005,0.82,747485007,0.92,683639015,0.93,747485009,1.0,578382001,0.91
747485010,699068005,0.82,750205004,0.91,749176009,0.93,747485004,1.0,828411001,0.91
747485010,750205004,0.81,616225031,0.9,749175001,0.93,747485010,1.0,707106001,0.91
747485010,746869004,0.8,555326013,0.89,760876012,0.92,747485008,1.0,794157001,0.91
747485010,578382001,0.8,747485006,0.89,749175016,0.92,499248004,0.97,578433007,0.91
747485010,824878002,0.79,777093003,0.89,919650001,0.92,521269002,0.94,627262006,0.91
686582001,686582001,1.0,686582001,1.0,686582001,1.0,686582001,1.0,686582001,1.0
686582001,708028001,0.85,462128027,0.78,395127036,0.99,657871004,0.96,835973001,0.91
686582001,815579001,0.85,775402004,0.75,814198003,0.99,657871003,0.96,815579001,0.91
686582001,835973001,0.85,757119001,0.75,763735001,0.99,671302001,0.84,708028001,0.91
686582001,774918005,0.83,637463001,0.74,741117002,0.99,671302003,0.84,774918005,0.91
686582001,786501002,0.83,462128028,0.74,666158002,0.98,859294001,0.84,628633002,0.91
686582001,774918004,0.83,606125001,0.74,684688001,0.98,773192003,0.84,774918004,0.91
686582001,628633002,0.82,767249003,0.74,892174001,0.98,773192002,0.84,786501002,0.91
699623006,699623006,1.0,699623006,1.0,699623006,1.0,699623006,1.0,699623006,1.0
699623006,850359002,0.72,796010002,0.77,589865001,1.0,699623004,1.0,867994002,0.91
699623006,518827008,0.71,661794006,0.75,708845003,1.0,699623001,1.0,518827008,0.91
699623006,867994002,0.7,690222006,0.73,758626001,1.0,812162001,0.9,817992002,0.91
699623006,854967002,0.69,832985001,0.72,850917003,0.99,687169001,0.88,718274002,0.91
699623006,682289010,0.69,850359002,0.72,584298017,0.99,687169002,0.88,786202001,0.91
699623006,713578001,0.67,742429002,0.71,708845001,0.99,689594001,0.87,812784001,0.91
699623006,713578002,0.66,611032005,0.7,869706002,0.99,796319001,0.87,740208006,0.91
656980004,656980004,1.0,656980004,1.0,656980004,1.0,656980003,1.0,656980004,1.0
656980004,673552003,0.76,677005001,0.74,698255003,0.99,656980001,1.0,698949001,0.91
656980004,610155005,0.71,693196003,0.71,780888001,0.99,656980004,1.0,912867001,0.91
656980004,656980003,0.7,673552001,0.67,643160003,0.99,633675001,0.86,554163001,0.91
656980004,475233012,0.69,538680002,0.67,855077002,0.99,743678001,0.75,567952001,0.91
656980004,698949001,0.69,796436001,0.66,713997061,0.99,705095001,0.74,364409028,0.91
656980004,844291001,0.68,696735001,0.66,697983002,0.98,668719001,0.74,673552002,0.91
656980004,912867001,0.68,520794001,0.65,713997023,0.98,633792001,0.71,518630005,0.91
867023003,867023003,1.0,867023003,1.0,867023003,1.0,867023003,1.0,853545001,1.0
867023003,853545001,0.83,863000004,0.83,732747003,1.0,867023001,1.0,867023003,1.0
867023003,862414001,0.8,766785001,0.81,620037002,1.0,664361002,0.87,862414001,0.91
867023003,827704006,0.77,726212001,0.8,653716009,1.0,664361001,0.87,814987002,0.91
867023003,814987002,0.76,843271002,0.8,685600024,1.0,923460003,0.86,738590004,0.91
867023003,763756001,0.74,856714001,0.79,583425001,1.0,923460002,0.86,923460002,0.82
867023003,856714001,0.74,719523007,0.79,879096002,1.0,923460001,0.86,867044002,0.82
867023003,792480001,0.72,738731003,0.78,685600026,1.0,883021003,0.86,653497001,0.82
707235002,707235002,1.0,707235002,1.0,707235002,1.0,707235001,1.0,707235003,1.0
707235002,707235011,0.9,642910013,0.84,651464005,0.99,707235006,1.0,707235011,1.0
707235002,556957006,0.87,721460002,0.83,542014001,0.98,707235010,1.0,707235010,1.0
707235002,707235005,0.86,769007004,0.82,696221005,0.98,707235005,1.0,707235002,1.0
707235002,707235006,0.85,600274006,0.81,831654001,0.98,707235003,1.0,556957006,1.0
707235002,707235003,0.85,809223002,0.8,684036001,0.98,707235011,1.0,707235005,1.0
707235002,707235007,0.85,716654003,0.79,923755003,0.98,707235002,1.0,707235007,1.0
707235002,799330001,0.84,642910002,0.79,929397001,0.98,707235007,1.0,707235006,1.0
734828002,734828002,1.0,734828002,1.0,734828002,1.0,734828001,1.0,699200004,1.0
734828002,699200005,0.94,734828001,0.93,613459017,0.94,734828002,1.0,699200005,1.0
734828002,699200004,0.91,658756002,0.93,659808010,0.94,734828003,1.0,734828002,1.0
734828002,734528010,0.89,672460008,0.92,631772013,0.94,673095001,0.91,699200003,1.0
734828002,754066001,0.89,626648002,0.92,834001002,0.93,673095002,0.91,859476001,1.0
734828002,770156001,0.88,693060003,0.92,863598001,0.93,458925001,0.89,858444003,1.0
734828002,694161006,0.88,647605002,0.92,752359001,0.92,458925003,0.89,753980001,1.0
734828002,734828003,0.87,722656002,0.92,506906004,0.92,458925002,0.89,604514002,1.0
584992003,584992003,1.0,584992003,1.0,584992003,1.0,575214003,1.0,787097001,1.0
584992003,503623006,0.83,672634001,0.79,789382003,0.98,575214004,1.0,903913002,1.0
584992003,613569002,0.82,580301001,0.76,622093005,0.96,584992001,1.0,831686003,1.0
584992003,578469004,0.79,515158003,0.74,784276007,0.96,584992003,1.0,660094001,1.0
584992003,585000001,0.78,535388001,0.73,485553008,0.95,720759001,0.86,899122001,1.0
584992003,909062003,0.76,534210011,0.73,680391032,0.95,809039001,0.85,684105003,1.0
584992003,895477001,0.76,580768002,0.73,542730004,0.95,619433001,0.85,852513006,1.0
584992003,891591007,0.76,645732001,0.72,746034001,0.95,584925004,0.84,878190005,1.0
842064001,842064001,1.0,842064001,1.0,842064001,1.0,879733001,1.0,801856001,1.0
842064001,572202006,0.95,694291002,0.48,678707009,1.0,842064001,1.0,567745004,1.0
842064001,856342001,0.95,842868001,0.47,786978001,1.0,942053001,1.0,671564001,1.0
842064001,785786001,0.94,793962002,0.46,868480003,1.0,879793001,1.0,626633001,1.0
842064001,842054001,0.94,825581002,0.46,542689001,1.0,892966001,1.0,626046001,1.0
842064001,671564001,0.94,519936040,0.46,515265001,1.0,792158001,0.99,589092001,1.0
842064001,625958001,0.94,893942001,0.46,710899003,1.0,766853001,0.99,873568001,1.0
842064001,845935001,0.94,560436001,0.45,661811001,1.0,742020001,0.93,625958001,1.0
858037001,858037001,1.0,858037001,1.0,858037001,1.0,858037001,1.0,733801002,1.0
858037001,862482004,0.89,619884016,0.86,836262001,0.98,877400001,0.85,862482004,1.0
858037001,619884020,0.81,726759002,0.81,683738002,0.97,877400002,0.85,619905003,1.0
858037001,636902003,0.81,862482004,0.77,723357004,0.97,877400003,0.85,636902003,1.0
858037001,735428001,0.8,726759003,0.77,822895001,0.97,599719008,0.84,726759001,1.0
858037001,854222001,0.8,882772002,0.77,542551005,0.97,599719010,0.84,619884012,1.0
858037001,882418005,0.79,738590005,0.76,608943027,0.97,599719007,0.84,882418005,1.0
858037001,619905003,0.79,855735001,0.76,865202001,0.97,599719009,0.84,858037001,1.0
708726001,708726001,1.0,708726001,1.0,708726001,1.0,708726001,1.0,572852001,1.0
708726001,681914003,0.79,723376001,0.84,741466006,0.99,708726003,1.0,708726001,1.0
708726001,723376001,0.79,708722004,0.81,741466002,0.99,708726002,1.0,681914003,1.0
708726001,572852001,0.79,661481002,0.8,746994001,0.99,301364029,0.88,681913005,0.91
708726001,708726002,0.74,617645001,0.8,602415011,0.99,652972001,0.86,681914001,0.82
708726001,708726003,0.73,708722001,0.8,678558001,0.99,723376001,0.85,584679002,0.82
708726001,554479002,0.72,468480033,0.8,468480031,0.99,392168032,0.85,886608001,0.82
708726001,675689002,0.69,554479002,0.8,879307002,0.99,392168029,0.85,518754001,0.82
689365021,689365021,1.0,689365021,1.0,689365021,1.0,689365046,1.0,552473028,1.0
